framework,copy_pattern,size,bytes,stride,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
cuda,strided,67108864,268435456,4,10,0.241005,0.240032,2227.636,PASS
cuda,strided,67108864,268435456,4,50,0.241975,0.239488,2218.704,PASS
cuda,strided,67108864,268435456,4,100,0.241409,0.239904,2223.909,PASS
cuda,strided,67108864,268435456,8,10,0.327667,0.326336,1638.464,PASS
cuda,strided,67108864,268435456,8,50,0.327386,0.324800,1639.870,PASS
cuda,strided,67108864,268435456,8,100,0.327096,0.324992,1641.327,PASS
cuda,strided,67108864,268435456,16,10,0.622806,0.618400,862.019,PASS
cuda,strided,67108864,268435456,16,50,0.621160,0.617376,864.303,PASS
cuda,strided,67108864,268435456,16,100,0.620716,0.616544,864.922,PASS
cuda,strided,67108864,268435456,32,10,1.202061,1.199648,446.625,PASS
cuda,strided,67108864,268435456,32,50,1.200791,1.196672,447.098,PASS
cuda,strided,67108864,268435456,32,100,1.198626,1.194272,447.905,PASS
cuda,strided,67108864,268435456,64,10,1.200125,1.197248,447.346,PASS
cuda,strided,67108864,268435456,64,50,1.197420,1.192864,448.356,PASS
cuda,strided,67108864,268435456,64,100,1.195287,1.192192,449.157,PASS
pytorch,contiguous,1048576,4194304,1,10,0.031824,0.024192,263.594,PASS
pytorch,contiguous,1048576,4194304,1,50,0.020697,0.018656,405.306,PASS
pytorch,contiguous,1048576,4194304,1,100,0.018569,0.016224,451.762,PASS
pytorch,strided,1048576,4194304,2,10,0.055565,0.046080,150.970,PASS
pytorch,strided,1048576,4194304,2,50,0.052527,0.044416,159.700,PASS
pytorch,strided,1048576,4194304,2,100,0.047374,0.040224,177.073,PASS
pytorch,strided,1048576,4194304,4,10,0.050653,0.041984,165.610,PASS
pytorch,strided,1048576,4194304,4,50,0.045681,0.039232,183.633,PASS
pytorch,strided,1048576,4194304,4,100,0.044726,0.038464,187.557,PASS
pytorch,strided,1048576,4194304,8,10,0.048125,0.041344,174.309,PASS
pytorch,strided,1048576,4194304,8,50,0.045042,0.038528,186.240,PASS
pytorch,strided,1048576,4194304,8,100,0.045692,0.036672,183.592,PASS
pytorch,strided,1048576,4194304,16,10,0.046262,0.041632,181.327,PASS
pytorch,strided,1048576,4194304,16,50,0.045027,0.039040,186.301,PASS
pytorch,strided,1048576,4194304,16,100,0.044384,0.038048,188.999,PASS
pytorch,strided,1048576,4194304,32,10,0.047062,0.039456,178.244,PASS
pytorch,strided,1048576,4194304,32,50,0.045231,0.038368,185.463,PASS
pytorch,strided,1048576,4194304,32,100,0.044048,0.037664,190.441,PASS
pytorch,strided,1048576,4194304,64,10,0.047965,0.040736,174.891,PASS
pytorch,strided,1048576,4194304,64,50,0.045284,0.038432,185.242,PASS
pytorch,strided,1048576,4194304,64,100,0.043754,0.036736,191.721,PASS
pytorch,contiguous,4194304,16777216,1,10,0.016963,0.014976,1978.072,PASS
pytorch,contiguous,4194304,16777216,1,50,0.016075,0.013856,2087.383,PASS
pytorch,contiguous,4194304,16777216,1,100,0.015592,0.013472,2152.029,PASS
pytorch,strided,4194304,16777216,2,10,0.050534,0.043200,663.992,PASS
pytorch,strided,4194304,16777216,2,50,0.046074,0.039360,728.279,PASS
pytorch,strided,4194304,16777216,2,100,0.045981,0.038976,729.749,PASS
pytorch,strided,4194304,16777216,4,10,0.048653,0.042336,689.671,PASS
pytorch,strided,4194304,16777216,4,50,0.047226,0.039616,710.504,PASS
pytorch,strided,4194304,16777216,4,100,0.046441,0.040000,722.518,PASS
pytorch,strided,4194304,16777216,8,10,0.049888,0.043776,672.595,PASS
pytorch,strided,4194304,16777216,8,50,0.045592,0.039776,735.967,PASS
pytorch,strided,4194304,16777216,8,100,0.043941,0.038496,763.623,PASS
pytorch,strided,4194304,16777216,16,10,0.049187,0.041504,682.178,PASS
pytorch,strided,4194304,16777216,16,50,0.045716,0.040064,733.968,PASS
pytorch,strided,4194304,16777216,16,100,0.045308,0.039744,740.583,PASS
pytorch,strided,4194304,16777216,32,10,0.051504,0.048224,651.492,PASS
pytorch,strided,4194304,16777216,32,50,0.049743,0.046304,674.551,PASS
pytorch,strided,4194304,16777216,32,100,0.049943,0.046432,671.850,PASS
pytorch,strided,4194304,16777216,64,10,0.051120,0.048224,656.386,PASS
pytorch,strided,4194304,16777216,64,50,0.050522,0.047520,664.152,PASS
pytorch,strided,4194304,16777216,64,100,0.049040,0.045312,684.226,PASS
pytorch,contiguous,16777216,67108864,1,10,0.032454,0.030912,4135.579,PASS
pytorch,contiguous,16777216,67108864,1,50,0.031733,0.030112,4229.579,PASS
pytorch,contiguous,16777216,67108864,1,100,0.031806,0.029728,4219.876,PASS
pytorch,strided,16777216,67108864,2,10,0.122019,0.116896,1099.972,PASS
pytorch,strided,16777216,67108864,2,50,0.119375,0.114880,1124.334,PASS
pytorch,strided,16777216,67108864,2,100,0.119489,0.115776,1123.268,PASS
pytorch,strided,16777216,67108864,4,10,0.124662,0.121760,1076.650,PASS
pytorch,strided,16777216,67108864,4,50,0.122171,0.117696,1098.607,PASS
pytorch,strided,16777216,67108864,4,100,0.121515,0.118368,1104.537,PASS
pytorch,strided,16777216,67108864,8,10,0.127344,0.123936,1053.978,PASS
pytorch,strided,16777216,67108864,8,50,0.125091,0.121984,1072.964,PASS
pytorch,strided,16777216,67108864,8,100,0.125531,0.121952,1069.204,PASS
pytorch,strided,16777216,67108864,16,10,0.142854,0.139168,939.542,PASS
pytorch,strided,16777216,67108864,16,50,0.139941,0.136096,959.101,PASS
pytorch,strided,16777216,67108864,16,100,0.141006,0.137376,951.860,PASS
pytorch,strided,16777216,67108864,32,10,0.158435,0.154208,847.146,PASS
pytorch,strided,16777216,67108864,32,50,0.155507,0.150880,863.097,PASS
pytorch,strided,16777216,67108864,32,100,0.153780,0.150272,872.788,PASS
pytorch,strided,16777216,67108864,64,10,0.123011,0.119648,1091.102,PASS
pytorch,strided,16777216,67108864,64,50,0.121381,0.116832,1105.755,PASS
pytorch,strided,16777216,67108864,64,100,0.121025,0.117184,1109.012,PASS
pytorch,contiguous,67108864,268435456,1,10,0.091974,0.089184,5837.178,PASS
pytorch,contiguous,67108864,268435456,1,50,0.090829,0.089024,5910.759,PASS
pytorch,contiguous,67108864,268435456,1,100,0.090615,0.088608,5924.765,PASS
pytorch,strided,67108864,268435456,2,10,0.389984,0.386528,1376.649,PASS
pytorch,strided,67108864,268435456,2,50,0.387260,0.383200,1386.331,PASS
pytorch,strided,67108864,268435456,2,100,0.386387,0.382720,1389.465,PASS
pytorch,strided,67108864,268435456,4,10,0.426419,0.422048,1259.021,PASS
pytorch,strided,67108864,268435456,4,50,0.424236,0.420416,1265.500,PASS
pytorch,strided,67108864,268435456,4,100,0.424669,0.420192,1264.210,PASS
pytorch,strided,67108864,268435456,8,10,0.534707,0.527456,1004.047,PASS
pytorch,strided,67108864,268435456,8,50,0.526878,0.521600,1018.966,PASS
pytorch,strided,67108864,268435456,8,100,0.526694,0.521344,1019.323,PASS
pytorch,strided,67108864,268435456,16,10,0.821744,0.814720,653.331,PASS
pytorch,strided,67108864,268435456,16,50,0.817908,0.809728,656.395,PASS
pytorch,strided,67108864,268435456,16,100,0.818136,0.809792,656.212,PASS
pytorch,strided,67108864,268435456,32,10,1.401478,1.393632,383.075,PASS
pytorch,strided,67108864,268435456,32,50,1.399316,1.393024,383.667,PASS
pytorch,strided,67108864,268435456,32,100,1.399283,1.392960,383.676,PASS
pytorch,strided,67108864,268435456,64,10,0.879718,0.863328,610.276,PASS
pytorch,strided,67108864,268435456,64,50,0.876113,0.859488,612.787,PASS
pytorch,strided,67108864,268435456,64,100,0.876381,0.858112,612.600,PASS
